episode,task_id,epsilon,steps,total_reward,mean_td_loss
110,medium_busy_opd,0.3173,40,-3.4873,0.135312
111,hard_mass_casualty,0.317,60,-17.2441,0.107165
112,easy_small_clinic,0.3167,20,2.0275,0.025401
113,medium_busy_opd,0.3164,40,-6.0503,0.09248
114,hard_mass_casualty,0.3161,60,-14.7517,0.204586
115,easy_small_clinic,0.3158,20,0.8875,0.017019
116,medium_busy_opd,0.3155,40,-10.3119,0.203986
117,hard_mass_casualty,0.3152,60,-11.1622,0.255999
118,easy_small_clinic,0.3149,20,1.7525,0.009999
119,medium_busy_opd,0.3146,40,-12.1041,0.195252
120,hard_mass_casualty,0.3143,60,-11.5711,0.056534
121,easy_small_clinic,0.314,20,1.985,0.019663
122,medium_busy_opd,0.3137,40,-17.7877,0.294132
123,hard_mass_casualty,0.3134,60,-19.3351,0.213619
124,easy_small_clinic,0.3131,20,1.32,0.024454
125,medium_busy_opd,0.3128,40,1.6844,0.025958
126,hard_mass_casualty,0.3125,60,-10.4423,0.081406
127,easy_small_clinic,0.3122,20,0.3375,0.025884
128,medium_busy_opd,0.3119,40,1.8533,0.011258
129,hard_mass_casualty,0.3116,60,-21.6217,0.168548
130,easy_small_clinic,0.3113,20,2.15,0.0188
131,medium_busy_opd,0.311,40,-2.4201,0.027681
132,hard_mass_casualty,0.3107,60,-4.6366,0.04574
133,easy_small_clinic,0.3104,20,1.265,0.009255
134,medium_busy_opd,0.3101,40,-5.6299,0.158697
135,hard_mass_casualty,0.3098,60,-19.3008,0.212143
136,easy_small_clinic,0.3095,20,-2.9675,0.115592
137,medium_busy_opd,0.3092,40,-8.414,0.221181
138,hard_mass_casualty,0.3089,60,-6.9235,0.03153
139,easy_small_clinic,0.3086,20,1.92,0.011158
140,medium_busy_opd,0.3083,40,-2.1735,0.01261
141,hard_mass_casualty,0.308,60,-14.9331,0.169075
142,easy_small_clinic,0.3077,20,1.975,0.019131
143,medium_busy_opd,0.3074,40,-3.9475,0.140423
144,hard_mass_casualty,0.3071,60,-4.424,0.072028
145,easy_small_clinic,0.3068,20,1.7525,0.018242
146,medium_busy_opd,0.3065,40,-7.2224,0.071806
147,hard_mass_casualty,0.3062,60,-9.5629,0.097062
148,easy_small_clinic,0.3059,20,-0.9425,0.044304
149,medium_busy_opd,0.3056,40,-7.0619,0.071866
150,hard_mass_casualty,0.3053,60,-13.6493,0.225988
151,easy_small_clinic,0.305,20,1.2675,0.019306
152,medium_busy_opd,0.3047,40,-7.5501,0.060281
153,hard_mass_casualty,0.3044,60,-8.2015,0.059046
154,easy_small_clinic,0.3041,20,-1.5575,0.090057
155,medium_busy_opd,0.3038,40,-0.3079,0.037431
156,hard_mass_casualty,0.3035,60,-30.8801,0.649013
157,easy_small_clinic,0.3032,20,1.933,0.021211
158,medium_busy_opd,0.3029,40,-9.9836,0.085458
159,hard_mass_casualty,0.3026,60,-6.9407,0.036329
160,easy_small_clinic,0.3023,20,1.835,0.022191
161,medium_busy_opd,0.302,40,-13.2599,0.324103
162,hard_mass_casualty,0.3017,60,-3.7514,0.0358
163,easy_small_clinic,0.3014,20,0.8725,0.013015
164,medium_busy_opd,0.3011,40,-2.2643,0.042202
165,hard_mass_casualty,0.3008,60,-7.9029,0.093035
166,easy_small_clinic,0.3005,20,1.2575,0.006803
167,medium_busy_opd,0.3002,40,-19.6733,0.433675
168,hard_mass_casualty,0.2998,60,-24.7072,0.456954
169,easy_small_clinic,0.2995,20,0.6025,0.018052
