step,loss
1,10.79660000
2,10.79710000
3,10.77470000
4,10.79480000
5,10.79510000
6,10.79740000
7,10.77160000
8,10.79680000
9,10.78950000
10,10.79580000
11,10.79520000
12,10.78760000
13,10.78600000
14,10.79530000
15,10.79610000
16,10.79630000
17,10.79490000
18,10.79670000
19,10.78510000
20,10.79000000
21,10.79390000
22,10.79530000
23,10.78940000
24,10.79570000
25,10.79410000
26,10.78680000
27,10.79410000
28,10.79600000
29,10.79410000
30,10.79510000
31,10.78820000
32,10.78590000
33,10.78670000
34,10.79490000
35,10.78710000
36,10.78830000
37,10.79580000
38,10.79280000
39,10.79360000
40,10.79380000
41,10.79380000
42,10.79260000
43,10.79450000
44,10.78960000
45,10.79390000
46,10.79460000
47,10.78920000
48,10.79450000
49,10.78640000
50,10.79330000
51,10.79390000
52,10.79320000
53,10.79440000
54,10.79120000
55,10.79190000
56,10.79220000
57,10.79310000
58,10.79250000
59,10.79240000
60,10.79160000
61,10.79290000
62,10.78310000
63,10.79220000
64,10.78360000
65,10.79140000
66,10.79160000
67,10.78420000
68,10.79260000
69,10.78950000
70,10.79230000
71,10.78640000
72,10.78520000
73,10.79070000
74,10.79190000
75,10.78620000
76,10.79060000
77,10.79030000
78,10.78240000
79,10.79050000
80,10.78950000
81,10.79110000
82,10.77470000
83,10.78840000
84,10.78950000
85,10.78200000
86,10.78130000
87,10.79170000
88,10.78940000
89,10.79040000
90,10.78990000
91,10.78900000
92,10.79000000
93,10.78930000
94,10.78470000
95,10.78300000
96,10.78990000
97,10.78970000
98,10.78690000
99,10.78930000
100,10.79000000
101,10.78830000
102,10.78870000
103,10.78780000
104,10.79000000
105,10.78810000
106,10.77860000
107,10.78910000
108,10.78030000
109,10.78900000
110,10.77000000
111,10.78730000
112,10.78890000
113,10.78120000
114,10.78680000
115,10.77960000
116,10.78800000
117,10.77940000
118,10.78730000
119,10.78710000
120,10.78610000
121,10.78670000
122,10.78790000
123,10.78790000
124,10.78720000
125,10.76330000
126,10.78720000
127,10.78130000
128,10.78610000
129,10.78640000
130,10.77880000
131,10.78750000
132,10.78520000
133,10.78020000
134,10.77890000
135,10.78510000
136,10.78650000
137,10.78560000
138,10.78560000
139,10.78640000
140,10.76480000
141,10.78430000
142,10.78410000
143,10.78560000
144,10.78390000
145,10.78170000
146,10.78440000
147,10.78380000
148,10.78250000
149,10.77630000
150,10.78450000
151,10.78340000
152,10.78440000
153,10.78270000
154,10.78360000
155,10.78270000
156,10.78270000
157,10.78360000
158,10.77530000
159,10.78400000
160,10.78220000
161,10.78320000
162,10.78240000
163,10.78320000
164,10.78230000
165,10.78290000
166,10.77710000
167,10.75910000
168,10.77340000
169,10.77400000
170,10.78090000
171,10.78140000
172,10.77310000
173,10.78310000
174,10.78220000
175,10.78150000
176,10.78050000
177,10.78180000
178,10.78120000
179,10.77370000
180,10.78210000
181,10.77340000
182,10.77340000
183,10.78030000
184,10.78110000
185,10.77140000
186,10.77910000
187,10.78060000
188,10.78040000
189,10.78030000
190,10.77440000
191,10.77780000
192,10.78000000
193,10.77920000
194,10.77740000
195,10.77890000
196,10.77780000
197,10.77800000
198,10.77110000
199,10.77890000
200,10.77940000
201,10.77770000
202,10.77850000
203,10.77160000
204,10.77140000
205,10.77760000
206,10.77880000
207,10.77070000
208,10.77880000
209,10.77830000
210,10.77210000
211,10.77450000
212,10.77660000
213,10.77860000
214,10.77110000
215,10.77680000
216,10.77700000
217,10.77760000
218,10.77770000
219,10.77560000
220,10.77750000
221,10.77670000
222,10.76850000
223,10.77570000
224,10.77660000
225,10.75710000
226,10.77700000
227,10.76930000
228,10.76980000
229,10.76700000
230,10.77650000
231,10.77650000
232,10.77390000
233,10.77590000
234,10.77510000
235,10.77560000
236,10.77550000
237,10.77460000
238,10.77400000
239,10.77460000
240,10.77450000
241,10.77320000
242,10.76770000
243,10.77400000
244,10.77390000
245,10.77630000
246,10.77380000
247,10.77420000
248,10.77390000
249,10.77270000
250,10.77470000
251,10.77340000
252,10.77290000
253,10.77460000
254,10.77320000
255,10.77320000
256,10.76350000
257,10.77210000
258,10.77210000
259,10.77260000
260,10.76580000
261,10.77300000
262,10.77230000
263,10.76360000
264,10.77190000
265,10.77270000
266,10.75260000
267,10.77180000
268,10.77260000
269,10.76410000
270,10.77340000
271,10.77190000
272,10.76620000
273,10.76990000
274,10.77220000
275,10.76940000
276,10.77120000
277,10.77040000
278,10.76230000
279,10.77060000
280,10.77180000
281,10.76920000
282,10.76990000
283,10.77100000
284,10.77070000
285,10.77050000
286,10.76720000
287,10.77080000
288,10.77070000
289,10.76920000
290,10.76460000
291,10.76310000
292,10.77000000
293,10.76960000
294,10.76320000
295,10.77030000
296,10.75990000
297,10.74550000
298,10.76980000
299,10.76020000
300,10.76840000
301,10.76190000
302,10.76650000
303,10.76300000
304,10.76750000
305,10.76650000
306,10.76840000
307,10.76070000
308,10.77030000
309,10.76050000
310,10.76760000
311,10.75970000
312,10.74950000
313,10.76720000
314,10.76880000
315,10.76300000
316,10.76770000
317,10.76780000
318,10.76760000
319,10.76660000
320,10.76620000
321,10.75710000
322,10.76780000
323,10.76670000
324,10.76710000
325,10.76620000
326,10.76720000
327,10.76490000
328,10.76560000
329,10.74170000
330,10.76650000
331,10.76170000
332,10.76380000
333,10.76470000
334,10.76600000
335,10.75830000
336,10.76590000
337,10.76390000
338,10.76050000
339,10.76580000
340,10.76490000
341,10.76520000
342,10.76430000
343,10.76550000
344,10.76370000
345,10.76510000
346,10.76510000
347,10.76270000
348,10.76600000
349,10.75860000
350,10.76360000
351,10.76380000
352,10.75880000
353,10.76430000
354,10.75440000
355,10.76470000
356,10.76490000
357,10.76230000
